county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Snyder,2005,5.7,1,,,,Delaware,2013,16.1,0,,,,,
Sullivan,2005,NA,1,,,,Erie,2013,5.3,0,,,,,
Tioga,2005,9.5,1,,,,Lackawanna,2013,10.2,0,,,,,
Union,2005,5.5,1,,,,Lancaster,2013,7.2,0,,,,,
Warren,2005,7.1,1,,,,Lebanon,2013,6.7,0,,,,,
Adams,2006,7.4,1,,,,Lehigh,2013,11.4,0,,,,,
Armstrong,2006,12.5,1,,,,Luzerne,2013,11.5,0,,,,,
Bedford,2006,4.8,1,,,,Montgomery,2013,10.2,0,,,,,
Blair,2006,9.5,1,,,,Northampton,2013,10.7,0,,,,,
Bradford,2006,10.1,1,,,,Philadelphia,2013,43.4,0,,,,,
Butler,2006,11.5,1,,,,Westmoreland,2013,12,0,,,,,
Cambria,2006,12,1,,,,York,2013,6.5,0,,,,,
Carbon,2006,20.5,1,,,,Allegheny,2014,13.7,0,,,,,
Centre,2006,10.8,1,,,,Beaver,2014,6.9,0,,,,,
Clearfield,2006,11.7,1,,,,Berks,2014,15.6,0,,,,,
Columbia,2006,18.3,1,,,,Bucks,2014,9.5,0,,,,,
Crawford,2006,12.1,1,,,,Chester,2014,6.5,0,,,,,
Elk,2006,13.7,1,,,,Cumberland,2014,6,0,,,,,
Fayette,2006,19.1,1,,,,Dauphin,2014,11.6,0,,,,,
Franklin,2006,8.4,1,,,,Delaware,2014,16.1,0,,,,,
Greene,2006,14.8,1,,,,Erie,2014,7.8,0,,,,,
Huntingdon,2006,13.1,1,,,,Lackawanna,2014,10.5,0,,,,,
Indiana,2006,19.1,1,,,,Lancaster,2014,7.1,0,,,,,
Jefferson,2006,8.4,1,,,,Lebanon,2014,8.7,0,,,,,
Lawrence,2006,25.4,1,,,,Lehigh,2014,11.2,0,,,,,
Lycoming,2006,10.2,1,,,,Luzerne,2014,10.1,0,,,,,
McKean,2006,15,1,,,,Montgomery,2014,9.3,0,,,,,
Mercer,2006,14.2,1,,,,Northampton,2014,10.3,0,,,,,
Mifflin,2006,13.5,1,,,,Philadelphia,2014,39.7,0,,,,,
Monroe,2006,20.1,1,,,,Westmoreland,2014,10.5,0,,,,,
Northumberland,2006,9.9,1,,,,York,2014,7.3,0,,,,,
Schuylkill,2006,19.3,1,,,,,,,,,,,,
Somerset,2006,7.7,1,,,,,,,,,,,,
Susquehanna,2006,17.9,1,,,,,,,,,,,,
Venango,2006,10.7,1,,,,,,,,,,,,
Washington,2006,17.2,1,,,,,,,,,,,,
Wayne,2006,10.1,1,,,,,,,,,,,,
Wyoming,2006,18.8,1,,,,,,,,,,,,
Cameron,2006,NA,1,,,,,,,,,,,,
Clarion,2006,13.6,1,,,,,,,,,,,,
Clinton,2006,8.5,1,,,,,,,,,,,,
Forest,2006,NA,1,,,,,,,,,,,,
Fulton,2006,NA,1,,,,,,,,,,,,
Juniata,2006,NA,1,,,,,,,,,,,,
Montour,2006,NA,1,,,,,,,,,,,,
Perry,2006,11,1,,,,,,,,,,,,
Pike,2006,7.2,1,,,,,,,,,,,,
Potter,2006,NA,1,,,,,,,,,,,,
Snyder,2006,NA,1,,,,,,,,,,,,
Sullivan,2006,NA,1,,,,,,,,,,,,
Tioga,2006,7.9,1,,,,,,,,,,,,
Union,2006,NA,1,,,,,,,,,,,,
Warren,2006,NA,1,,,,,,,,,,,,
Adams,2007,6.2,1,,,,,,,,,,,,
Armstrong,2007,12.3,1,,,,,,,,,,,,
Bedford,2007,7.3,1,,,,,,,,,,,,
Blair,2007,9.4,1,,,,,,,,,,,,
Bradford,2007,7.2,1,,,,,,,,,,,,
Butler,2007,10.4,1,,,,,,,,,,,,
Cambria,2007,11.5,1,,,,,,,,,,,,
Carbon,2007,16,1,,,,,,,,,,,,
Centre,2007,8.4,1,,,,,,,,,,,,
Clearfield,2007,12,1,,,,,,,,,,,,
Columbia,2007,20.3,1,,,,,,,,,,,,
Crawford,2007,10.7,1,,,,,,,,,,,,
Elk,2007,9.7,1,,,,,,,,,,,,
Fayette,2007,20.8,1,,,,,,,,,,,,
Franklin,2007,7.2,1,,,,,,,,,,,,
Greene,2007,17,1,,,,,,,,,,,,
Huntingdon,2007,11.3,1,,,,,,,,,,,,
Indiana,2007,18.2,1,,,,,,,,,,,,
Jefferson,2007,10.9,1,,,,,,,,,,,,
Lawrence,2007,22.7,1,,,,,,,,,,,,
Lycoming,2007,8.8,1,,,,,,,,,,,,
McKean,2007,12.3,1,,,,,,,,,,,,
Mercer,2007,12.9,1,,,,,,,,,,,,
Mifflin,2007,11.5,1,,,,,,,,,,,,
Monroe,2007,21.3,1,,,,,,,,,,,,
Northumberland,2007,8.4,1,,,,,,,,,,,,
Schuylkill,2007,12.6,1,,,,,,,,,,,,
Somerset,2007,7.6,1,,,,,,,,,,,,
Susquehanna,2007,11.1,1,,,,,,,,,,,,
Venango,2007,9.7,1,,,,,,,,,,,,
Washington,2007,15.9,1,,,,,,,,,,,,
Wayne,2007,11.9,1,,,,,,,,,,,,
Wyoming,2007,17.7,1,,,,,,,,,,,,
Cameron,2007,NA,1,,,,,,,,,,,,
Clarion,2007,10.2,1,,,,,,,,,,,,
Clinton,2007,6.4,1,,,,,,,,,,,,
Forest,2007,NA,1,,,,,,,,,,,,
